Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
12 MAY 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,12 MAY 2026,               5.00,          35286502,            174.65,     6162787574.30 
12 MAY 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,12 MAY 2026,              10.00,          10500000,             33.65,      353325000.00
12 MAY 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,12 MAY 2026,               1.00,         405915969,           1078.10,   437618006178.90    
12 MAY 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,12 MAY 2026,              10.00,           8582670,           1234.20,    10592731314.00
12 MAY 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,12 MAY 2026,              10.00,         207396267,             17.50,     3629434672.50 
12 MAY 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,12 MAY 2026,              10.00,          11265070,          31000.00,   349217170000.00   
12 MAY 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,12 MAY 2026,               2.00,          18000000,             33.50,      603000000.00    
12 MAY 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,12 MAY 2026,              10.00,          46882257,            306.15,    14353002980.55    
12 MAY 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,12 MAY 2026,               2.00,          46078537,            662.10,    30508599347.70   
12 MAY 2026,A2ZINFRA,BE,A2Z INFRA ENGINEERING LTD,Listed    ,12 MAY 2026,              10.00,         176119858,             16.15,     2844335706.70  
12 MAY 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,12 MAY 2026,              10.00,          12826800,             99.25,     1272931632.00   
12 MAY 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,12 MAY 2026,              10.00,         434836463,            487.30,   211895808419.90 
12 MAY 2026,AAKAAR,ST,AAKAAR MEDICAL TECHNO LTD,Listed    ,12 MAY 2026,              10.00,          14172816,             52.90,      749741966.40    
12 MAY 2026,AAKASH,BE,AAKASH EXPLORATION SER L ,Listed    ,12 MAY 2026,               1.00,         101250000,              8.40,      849487500.00    
12 MAY 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,12 MAY 2026,              10.00,          14138000,             92.30,     1304937400.00  
12 MAY 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,12 MAY 2026,              10.00,          28354303,             88.30,     2503684954.90
12 MAY 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,12 MAY 2026,              10.00,          42238628,             22.10,      934318451.35    
12 MAY 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,12 MAY 2026,              10.00,          20946478,            134.35,     2814368784.10     
12 MAY 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,12 MAY 2026,               5.00,          31770375,             40.15,     1274945148.75   
12 MAY 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,12 MAY 2026,              10.00,          91270000,            371.95,    33947876500.00
12 MAY 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,12 MAY 2026,               5.00,         362594369,            468.50,   169875461876.50  
12 MAY 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,12 MAY 2026,               5.00,          90657751,            712.70,    64611779137.70
12 MAY 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,12 MAY 2026,              10.00,           8464995,            396.40,     3355524018.00 
12 MAY 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,12 MAY 2026,              10.00,          14810700,            122.80,     1818457746.00     
12 MAY 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,12 MAY 2026,               5.00,          22600000,             20.55,      464430000.00    
12 MAY 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,12 MAY 2026,              10.00,          79191876,           1387.00,   109839132012.00     
12 MAY 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,12 MAY 2026,               2.00,          58365323,             18.80,     1097851725.65      
12 MAY 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,12 MAY 2026,               2.00,          69748880,             35.30,     2461437975.20  
12 MAY 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,12 MAY 2026,               2.00,         211908375,           6328.50,  1341062151187.50       
12 MAY 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,12 MAY 2026,              10.00,          21249302,          26900.00,   571606223800.00
12 MAY 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,12 MAY 2026,              10.00,        2619471475,            341.20,   893763667270.00 
12 MAY 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,12 MAY 2026,              10.00,          21963620,            225.15,     4944669770.60    
12 MAY 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,12 MAY 2026,               2.00,         279710151,            567.45,   158721525184.95      
12 MAY 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,12 MAY 2026,              10.00,        1220510115,             62.40,    76159831176.00     
12 MAY 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,12 MAY 2026,              10.00,          18587830,             31.25,      580869687.50 
12 MAY 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,12 MAY 2026,               1.00,         638789360,             13.75,     8783353700.00   
12 MAY 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,12 MAY 2026,              10.00,        1220509509,            101.65,   124076996684.95     
12 MAY 2026,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,12 MAY 2026,              10.00,           9408000,             39.60,      372556800.00
12 MAY 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,12 MAY 2026,               5.00,          20002200,            221.00,     4420486200.00    
12 MAY 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
12 MAY 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,12 MAY 2026,              10.00,         111695680,           1321.20,   147572332416.00     
12 MAY 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,12 MAY 2026,               5.00,         288785629,           1055.10,   304697717157.90   
12 MAY 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,12 MAY 2026,              10.00,          24550000,            222.80,     5469740000.00 
12 MAY 2026,ACC,EQ,ACC LIMITED              ,Listed    ,12 MAY 2026,              10.00,         187787263,           1347.00,   252949443261.00       
12 MAY 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,12 MAY 2026,              10.00,          14926261,           1129.50,    16859211799.50   
12 MAY 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,12 MAY 2026,              10.00,          23989020,            440.70,    10571961114.00 
12 MAY 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,07 MAY 2026,              10.00,           3472000,             43.70,      151726400.00    
12 MAY 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,12 MAY 2026,              10.00,          11116000,            122.25,     1358931000.00     
12 MAY 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,12 MAY 2026,               1.00,         150560000,              5.45,      820552000.00  
12 MAY 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,12 MAY 2026,               2.00,         119083196,            881.25,   104942066475.00       
12 MAY 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,12 MAY 2026,              10.00,          10200000,             20.30,      206958000.00  
12 MAY 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,12 MAY 2026,              10.00,          16383735,            116.50,     1908705127.50    
12 MAY 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,12 MAY 2026,               2.00,         123458394,            597.50,    73766390415.00       
12 MAY 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,12 MAY 2026,              10.00,          92172140,             55.90,     5151500904.60       
12 MAY 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,12 MAY 2026,               2.00,         605971804,            283.80,   171974797975.20 
12 MAY 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,12 MAY 2026,              10.00,          60681608,             36.25,     2200315106.10   
12 MAY 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,12 MAY 2026,               5.00,          15015016,            179.80,     2699699876.80
12 MAY 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,12 MAY 2026,               5.00,          81871122,           2742.20,   224506990748.40   
12 MAY 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,12 MAY 2026,              10.00,        1201282642,           1284.30,  1542807297120.60
12 MAY 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,12 MAY 2026,               1.00,        1291893209,           2405.20,  3107261546286.80  
12 MAY 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,12 MAY 2026,              10.00,        1647176155,           1308.00,  2154506410740.00
12 MAY 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,12 MAY 2026,               2.00,        2303959098,           1688.20,  3889543749243.60
12 MAY 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,12 MAY 2026,               2.00,       19284694705,            209.65,  4042650551009.15
12 MAY 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,12 MAY 2026,              10.00,          15909732,             76.80,     1221867417.60 
12 MAY 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,12 MAY 2026,               2.00,         109863595,            265.85,    29207236730.75  
12 MAY 2026,ADISOFT,ST,ADISOFT TECHNOLOGIES LTD ,Listed    ,12 MAY 2026,              10.00,          16318000,            220.70,     3601382600.00   
12 MAY 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,12 MAY 2026,              10.00,           5566250,             71.65,      398710487.50       
12 MAY 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,12 MAY 2026,              10.00,          17402815,           1022.50,    17794378337.50      
12 MAY 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,12 MAY 2026,              10.00,          54177208,              9.05,      490845504.50
12 MAY 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,12 MAY 2026,               5.00,          56514128,            123.85,     7000405035.35      
12 MAY 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,12 MAY 2026,              10.00,          10936777,           1908.60,    20873932582.20    
12 MAY 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,12 MAY 2026,              10.00,          64285720,            106.25,     6829714892.80   
12 MAY 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,12 MAY 2026,               2.00,          92438500,             52.15,     4819743390.00
12 MAY 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,12 MAY 2026,              10.00,          53942887,            159.20,     8587168181.55 
12 MAY 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,12 MAY 2026,               2.00,         111926800,            369.80,    41390530640.00
12 MAY 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,12 MAY 2026,               1.00,         351000000,            658.80,   231238800000.00  
12 MAY 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,12 MAY 2026,              10.00,        1107991489,            202.65,   224556635075.65
12 MAY 2026,AEPL,BE,ARTEMIS ELECTRICALS & P L,Listed    ,12 MAY 2026,               1.00,         251036900,             16.15,     4051735566.00      
12 MAY 2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,12 MAY 2026,              10.00,         670665635,            180.25,   120874067396.05     
12 MAY 2026,AEROENTER,EQ,AEROFLEX ENTERPRISES LTD ,Listed    ,12 MAY 2026,               2.00,         113085000,            101.95,    11526754050.00 
12 MAY 2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,12 MAY 2026,               2.00,         132330768,            365.25,    48333813012.00  
12 MAY 2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,12 MAY 2026,              10.00,          17020000,             97.95,     1667109000.00     
12 MAY 2026,AERONEU,EQ,AEROFLEX NEU LIMITED     ,Listed    ,12 MAY 2026,              10.00,          25796000,             90.40,     2332474320.00   
12 MAY 2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,11 MAY 2026,              10.00,          17220175,             76.50,     1317343387.50 
12 MAY 2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,12 MAY 2026,              10.00,         132674370,           1155.70,   153331769409.00    
12 MAY 2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,12 MAY 2026,              10.00,         367784631,            335.10,   123244629848.10    
12 MAY 2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,12 MAY 2026,               2.00,         140757384,           1585.30,   223142680855.20     
12 MAY 2026,AFFORDABLE,BE,AFFORD ROBO & AUTO LTD   ,Listed    ,12 MAY 2026,              10.00,          11246266,            171.85,     1932783274.75
12 MAY 2026,AFIL,BE,AKME FINTRADE (INDIA) LTD,Listed    ,12 MAY 2026,               1.00,         426749960,              9.20,     3934634631.20      
12 MAY 2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,12 MAY 2026,               2.00,          50658840,            201.10,    10188505900.80      
12 MAY 2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,12 MAY 2026,              10.00,          14957789,            416.65,     6232162786.85   
12 MAY 2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,12 MAY 2026,               1.00,         316807506,            450.20,   142626739201.20
12 MAY 2026,AGARWALFT,ST,AGARWAL FLOAT GLASS I LTD,Listed    ,12 MAY 2026,              10.00,           7243488,             37.85,      274166020.80 
12 MAY 2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,12 MAY 2026,              10.00,          17674600,            125.75,     2222580950.00
12 MAY 2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,12 MAY 2026,               2.00,          64697381,            587.35,    38000006730.35       
12 MAY 2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,12 MAY 2026,               1.00,         124997388,            365.80,    45724044530.40     
12 MAY 2026,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,12 MAY 2026,              10.00,          19534800,             20.75,      405347100.00      
12 MAY 2026,AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,Listed    ,12 MAY 2026,              10.00,           5940000,            112.45,      667953000.00  
12 MAY 2026,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,12 MAY 2026,              10.00,          20274115,             30.55,      619374213.25  
12 MAY 2026,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,08 MAY 2026,              10.00,           5484000,             59.95,      328765800.00      
12 MAY 2026,AHCL,EQ,ANLON HEALTHCARE LIMITED ,Listed    ,12 MAY 2026,               2.00,         531515000,             13.40,     7116985850.00      
12 MAY 2026,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,23 MAR 2026,              10.00,           5473990,             24.70,      135207553.00    
12 MAY 2026,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,12 MAY 2026,              10.00,          12921000,             43.10,      556636680.00    
12 MAY 2026,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,12 MAY 2026,              10.00,          17291696,            156.65,     2708917095.35   
12 MAY 2026,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,12 MAY 2026,               2.00,          66987560,            811.45,    54357055562.00  
12 MAY 2026,AHLWEST,BE,ASIAN HOTELS (WEST) LTD  ,Listed    ,12 MAY 2026,              10.00,          11651210,            508.75,     5927553087.50   
